model,number,is_prime,score
gpt-4-0613,25331,False,1
gpt-3.5-turbo-0301,13702,False,1
gpt-3.5-turbo-0613,35896,False,1
gpt-4-0314,90899,False,0
gpt-4-0613,86853,False,1
gpt-3.5-turbo-0301,92103,False,1
gpt-3.5-turbo-0613,47488,False,1
gpt-4-0314,32575,False,1
gpt-4-0613,24730,False,1
gpt-3.5-turbo-0301,49230,False,1
gpt-3.5-turbo-0613,53453,True,1
gpt-4-0314,36829,False,0
gpt-4-0613,96509,False,1
gpt-3.5-turbo-0301,98036,False,1
gpt-3.5-turbo-0613,84054,False,1
gpt-4-0314,86776,False,1
gpt-4-0613,80112,False,1
gpt-3.5-turbo-0301,72695,False,1
gpt-3.5-turbo-0613,20548,False,1
gpt-4-0314,14760,False,1
gpt-4-0613,35698,False,1
gpt-3.5-turbo-0301,91819,False,1
gpt-3.5-turbo-0613,73110,False,0
gpt-4-0314,81849,False,0
gpt-4-0613,17208,False,1
gpt-3.5-turbo-0301,53513,False,1
gpt-3.5-turbo-0613,57729,False,1
gpt-4-0314,29010,False,1
gpt-4-0613,34667,True,0
gpt-3.5-turbo-0301,90484,False,1
gpt-3.5-turbo-0613,41832,False,1
gpt-4-0314,37244,False,1
gpt-4-0613,27011,True,0
gpt-3.5-turbo-0301,79865,False,1
gpt-3.5-turbo-0613,33542,False,1
gpt-4-0314,54368,False,1
gpt-4-0613,85746,False,1
gpt-3.5-turbo-0301,57858,False,1
gpt-3.5-turbo-0613,91211,False,0
gpt-4-0314,79939,True,1
gpt-4-0613,66230,False,1
gpt-3.5-turbo-0301,52077,False,1
gpt-3.5-turbo-0613,41417,False,0
gpt-4-0314,15754,False,1
gpt-4-0613,25726,False,1
gpt-3.5-turbo-0301,15448,False,1
gpt-3.5-turbo-0613,20042,False,1
gpt-4-0314,23490,False,1
gpt-4-0613,35529,False,1
gpt-3.5-turbo-0301,94389,False,1
gpt-3.5-turbo-0613,70416,False,1
gpt-4-0314,96033,False,0
gpt-4-0613,76398,False,1
gpt-3.5-turbo-0301,55543,False,1
gpt-3.5-turbo-0613,57628,False,1
gpt-4-0314,23192,False,1
gpt-4-0613,31102,False,1
gpt-3.5-turbo-0301,35764,False,1
gpt-3.5-turbo-0613,54047,False,0
gpt-4-0314,57747,False,0
gpt-4-0613,95788,False,1
gpt-3.5-turbo-0301,53555,False,1
gpt-3.5-turbo-0613,25553,False,0
gpt-4-0314,26545,False,1
gpt-4-0613,50150,False,1
gpt-3.5-turbo-0301,82023,False,1
gpt-3.5-turbo-0613,24120,False,1
gpt-4-0314,58473,False,0
gpt-4-0613,33258,False,1
gpt-3.5-turbo-0301,22477,False,1
gpt-3.5-turbo-0613,84787,True,1
gpt-4-0314,10185,False,1
gpt-4-0613,10393,False,1
gpt-3.5-turbo-0301,75638,False,1
gpt-3.5-turbo-0613,37187,False,0
gpt-4-0314,96512,False,1
gpt-4-0613,55725,False,1
gpt-3.5-turbo-0301,42054,False,1
gpt-3.5-turbo-0613,79738,False,1
gpt-4-0314,79553,False,0
gpt-4-0613,20432,False,1
gpt-3.5-turbo-0301,74024,False,1
gpt-3.5-turbo-0613,39894,False,1
gpt-4-0314,12188,False,1
gpt-4-0613,85912,False,1
gpt-3.5-turbo-0301,36599,True,0
gpt-3.5-turbo-0613,93052,False,1
gpt-4-0314,77467,False,0
gpt-4-0613,61213,False,1
gpt-3.5-turbo-0301,36742,False,0
gpt-3.5-turbo-0613,92982,False,1
gpt-4-0314,49428,False,1
gpt-4-0613,35973,False,1
gpt-3.5-turbo-0301,12203,True,0
gpt-3.5-turbo-0613,47861,False,0
gpt-4-0314,49646,False,1
gpt-4-0613,11562,False,1
gpt-3.5-turbo-0301,35072,False,1
gpt-3.5-turbo-0613,58621,False,0
gpt-4-0314,63139,False,0
gpt-4-0613,93146,False,1
gpt-3.5-turbo-0301,33664,False,1
gpt-3.5-turbo-0613,72293,False,0
gpt-4-0314,55970,False,1
gpt-4-0613,55742,False,1
gpt-3.5-turbo-0301,23508,False,1
gpt-3.5-turbo-0613,16729,True,1
gpt-4-0314,47371,False,0
gpt-4-0613,42099,False,1
gpt-3.5-turbo-0301,98900,False,1
gpt-3.5-turbo-0613,51022,False,1
gpt-4-0314,13550,False,1
gpt-4-0613,64324,False,1
gpt-3.5-turbo-0301,69251,False,1
gpt-3.5-turbo-0613,56333,True,1
gpt-4-0314,89805,False,1
gpt-4-0613,30224,False,1
gpt-3.5-turbo-0301,84199,True,0
gpt-3.5-turbo-0613,77842,False,1
gpt-4-0314,87911,True,1
gpt-4-0613,45670,False,1
gpt-3.5-turbo-0301,23163,False,1
gpt-3.5-turbo-0613,74674,False,1
gpt-4-0314,28759,True,1
gpt-4-0613,36078,False,1
gpt-3.5-turbo-0301,48907,True,1
gpt-3.5-turbo-0613,25431,False,0
gpt-4-0314,85037,True,1
gpt-4-0613,16576,False,1
gpt-3.5-turbo-0301,23486,False,1
gpt-3.5-turbo-0613,92484,False,1
gpt-4-0314,80115,False,1
gpt-4-0613,14744,False,1
gpt-3.5-turbo-0301,80278,False,1
gpt-3.5-turbo-0613,43196,False,1
gpt-4-0314,33446,False,1
gpt-4-0613,43145,False,1
gpt-3.5-turbo-0301,30424,False,1
gpt-3.5-turbo-0613,24304,False,1
gpt-4-0314,66877,True,1
gpt-4-0613,23431,True,0
gpt-3.5-turbo-0301,57043,False,1
gpt-3.5-turbo-0613,92459,True,1
gpt-4-0314,43102,False,1
gpt-4-0613,71628,False,1
gpt-3.5-turbo-0301,41252,False,1
gpt-3.5-turbo-0613,41472,False,1
gpt-4-0314,83058,False,1
gpt-4-0613,87831,False,0
gpt-3.5-turbo-0301,90987,False,1
gpt-3.5-turbo-0613,32888,False,1
gpt-4-0314,81303,False,0
gpt-4-0613,86228,False,1
gpt-3.5-turbo-0301,42134,False,1
gpt-3.5-turbo-0613,48013,False,0
gpt-4-0314,25862,False,1
gpt-4-0613,61037,False,1
gpt-3.5-turbo-0301,16078,False,1
gpt-3.5-turbo-0613,49675,False,0
gpt-4-0314,31751,True,1
gpt-4-0613,55391,False,1
gpt-3.5-turbo-0301,27467,False,1
gpt-3.5-turbo-0613,48370,False,1
gpt-4-0314,23253,False,0
gpt-4-0613,17247,False,1
gpt-3.5-turbo-0301,41145,False,1
gpt-3.5-turbo-0613,18775,False,0
gpt-4-0314,52417,False,0
gpt-4-0613,31122,False,1
gpt-3.5-turbo-0301,63051,False,1
gpt-3.5-turbo-0613,13556,False,1
gpt-4-0314,39628,False,1
gpt-4-0613,45105,False,1
gpt-3.5-turbo-0301,36065,False,1
gpt-3.5-turbo-0613,44967,False,0
gpt-4-0314,84817,False,0
gpt-4-0613,52377,False,1
gpt-3.5-turbo-0301,76909,False,1
gpt-3.5-turbo-0613,81105,False,1
gpt-4-0314,49422,False,1
gpt-4-0613,34297,True,0
gpt-3.5-turbo-0301,26309,True,0
gpt-3.5-turbo-0613,36328,False,0
gpt-4-0314,13953,False,0
gpt-4-0613,45526,False,1
gpt-3.5-turbo-0301,48954,False,1
gpt-3.5-turbo-0613,93002,False,1
gpt-4-0314,17625,False,1
gpt-4-0613,92951,True,0
gpt-3.5-turbo-0301,80185,False,1
gpt-3.5-turbo-0613,54882,False,1
gpt-4-0314,18462,False,1
gpt-4-0613,36898,False,1
gpt-3.5-turbo-0301,55944,False,1
gpt-3.5-turbo-0613,94777,True,1
gpt-4-0314,63573,False,0
gpt-4-0613,18005,False,1
gpt-3.5-turbo-0301,33071,True,0
gpt-3.5-turbo-0613,62677,False,0
gpt-4-0314,11006,False,1
gpt-4-0613,57875,False,1
gpt-3.5-turbo-0301,73288,False,1
gpt-3.5-turbo-0613,23978,False,1
gpt-4-0314,24019,True,1
gpt-4-0613,85653,False,1
gpt-3.5-turbo-0301,24803,False,1
gpt-3.5-turbo-0613,48245,False,0
gpt-4-0314,71008,False,1
gpt-4-0613,84675,False,1
gpt-3.5-turbo-0301,73324,False,1
gpt-3.5-turbo-0613,28984,False,0
gpt-4-0314,76746,False,1
gpt-4-0613,51159,False,1
gpt-3.5-turbo-0301,35549,False,1
gpt-3.5-turbo-0613,41723,False,0
gpt-4-0314,12524,False,1
gpt-4-0613,96712,False,1
gpt-3.5-turbo-0301,73458,False,1
gpt-3.5-turbo-0613,51465,False,0
gpt-4-0314,56157,False,1
gpt-4-0613,59255,False,1
gpt-3.5-turbo-0301,37981,False,1
gpt-3.5-turbo-0613,79179,False,1
gpt-4-0314,15787,True,1
gpt-4-0613,19742,False,1
gpt-3.5-turbo-0301,30371,False,1
gpt-3.5-turbo-0613,90419,False,1
gpt-4-0314,77236,False,1
gpt-4-0613,66113,False,0
gpt-3.5-turbo-0301,71509,False,1
gpt-3.5-turbo-0613,66626,False,1
gpt-4-0314,65425,False,1
gpt-4-0613,97944,False,1
gpt-3.5-turbo-0301,18716,False,1
gpt-3.5-turbo-0613,77176,False,1
gpt-4-0314,50656,False,1
gpt-4-0613,10369,True,0
gpt-3.5-turbo-0301,32259,False,0
gpt-3.5-turbo-0613,50040,False,1
gpt-4-0314,36212,False,1
gpt-4-0613,71924,False,1
gpt-3.5-turbo-0301,42560,False,1
gpt-3.5-turbo-0613,40669,False,0
gpt-4-0314,76251,False,0
gpt-4-0613,32677,False,1
gpt-3.5-turbo-0301,49601,False,1
gpt-3.5-turbo-0613,81671,True,1
gpt-4-0314,74113,False,0
gpt-4-0613,36381,False,1
gpt-3.5-turbo-0301,82654,False,1
gpt-3.5-turbo-0613,49496,False,1
gpt-4-0314,85224,False,1
gpt-4-0613,48225,False,1
gpt-3.5-turbo-0301,92360,False,1
gpt-3.5-turbo-0613,18430,False,1
gpt-4-0314,23013,False,0
gpt-4-0613,16796,False,1
gpt-3.5-turbo-0301,24508,False,1
gpt-3.5-turbo-0613,44076,False,1
gpt-4-0314,79856,False,1
gpt-4-0613,12695,False,1
gpt-3.5-turbo-0301,84416,False,0
gpt-3.5-turbo-0613,49926,False,1
gpt-4-0314,98303,False,0
gpt-4-0613,65739,False,1
gpt-3.5-turbo-0301,11023,False,1
gpt-3.5-turbo-0613,34720,False,1
gpt-4-0314,42063,False,1
gpt-4-0613,74640,False,1
gpt-3.5-turbo-0301,30387,False,1
gpt-3.5-turbo-0613,98403,False,1
gpt-4-0314,87920,False,1
gpt-4-0613,95044,False,1
gpt-3.5-turbo-0301,49200,False,1
gpt-3.5-turbo-0613,73667,False,0
gpt-4-0314,39607,True,1
gpt-4-0613,22596,False,1
gpt-3.5-turbo-0301,79316,False,1
gpt-3.5-turbo-0613,15677,False,0
gpt-4-0314,11708,False,1
gpt-4-0613,45104,False,1
gpt-3.5-turbo-0301,78925,False,1
gpt-3.5-turbo-0613,30048,False,1
gpt-4-0314,20906,False,1
gpt-4-0613,94832,False,1
gpt-3.5-turbo-0301,92603,False,0
gpt-3.5-turbo-0613,46669,False,0
gpt-4-0314,47257,False,0
gpt-4-0613,55839,False,1
gpt-3.5-turbo-0301,65445,False,1
gpt-3.5-turbo-0613,58286,False,1
gpt-4-0314,65252,False,1
gpt-4-0613,92508,False,1
gpt-3.5-turbo-0301,96420,False,1
gpt-3.5-turbo-0613,53060,False,1
gpt-4-0314,63585,False,1
gpt-4-0613,49025,False,1
gpt-3.5-turbo-0301,80870,False,1
gpt-3.5-turbo-0613,84566,False,1
gpt-4-0314,60609,False,1
gpt-4-0613,12345,False,1
gpt-3.5-turbo-0301,58360,False,1
gpt-3.5-turbo-0613,89065,False,0
gpt-4-0314,84610,False,1
gpt-4-0613,39291,False,1
gpt-3.5-turbo-0301,32837,False,1
gpt-3.5-turbo-0613,82055,False,0
gpt-4-0314,14791,False,0
gpt-4-0613,78767,False,1
gpt-3.5-turbo-0301,73369,True,0
gpt-3.5-turbo-0613,57009,False,0
gpt-4-0314,60721,False,0
gpt-4-0613,37568,False,1
gpt-3.5-turbo-0301,81765,False,1
gpt-3.5-turbo-0613,69393,False,1
gpt-4-0314,55784,False,1
gpt-4-0613,44699,True,0
gpt-3.5-turbo-0301,36214,False,1
gpt-3.5-turbo-0613,92189,True,1
gpt-4-0314,69074,False,1
gpt-4-0613,64324,False,1
gpt-3.5-turbo-0301,17320,False,1
gpt-3.5-turbo-0613,56687,True,1
gpt-4-0314,64700,False,1
gpt-4-0613,65403,False,1
gpt-3.5-turbo-0301,37848,False,1
gpt-3.5-turbo-0613,79754,False,1
gpt-4-0314,52135,False,1
gpt-4-0613,18028,False,1
gpt-3.5-turbo-0301,72489,False,1
gpt-3.5-turbo-0613,75521,True,1
gpt-4-0314,67036,False,1
gpt-4-0613,80520,False,1
gpt-3.5-turbo-0301,25148,False,1
gpt-3.5-turbo-0613,48693,False,1
gpt-4-0314,11617,True,1
gpt-4-0613,73803,False,1
gpt-3.5-turbo-0301,65332,False,1
gpt-3.5-turbo-0613,56070,False,1
gpt-4-0314,43216,False,1
gpt-4-0613,12074,False,1
gpt-3.5-turbo-0301,42017,True,0
gpt-3.5-turbo-0613,45819,False,1
gpt-4-0314,84898,False,1
gpt-4-0613,24869,False,1
gpt-3.5-turbo-0301,19684,False,1
gpt-3.5-turbo-0613,39100,False,1
gpt-4-0314,94475,False,1
gpt-4-0613,17209,True,0
gpt-3.5-turbo-0301,46273,True,0
gpt-3.5-turbo-0613,91824,False,0
gpt-4-0314,68426,False,1
gpt-4-0613,51411,False,1
gpt-3.5-turbo-0301,81386,False,1
gpt-3.5-turbo-0613,71746,False,1
gpt-4-0314,17274,False,1
gpt-4-0613,52268,False,1
gpt-3.5-turbo-0301,12583,True,0
gpt-3.5-turbo-0613,29292,False,1
gpt-4-0314,61722,False,1
gpt-4-0613,15291,False,1
gpt-3.5-turbo-0301,54061,False,1
gpt-3.5-turbo-0613,80492,False,1
gpt-4-0314,54759,False,0
gpt-4-0613,40971,False,1
gpt-3.5-turbo-0301,72183,False,1
gpt-3.5-turbo-0613,38786,False,1
gpt-4-0314,28592,False,1
gpt-4-0613,92196,False,1
gpt-3.5-turbo-0301,88210,False,1
gpt-3.5-turbo-0613,91767,False,1
gpt-4-0314,99500,False,1
gpt-4-0613,71484,False,1
gpt-3.5-turbo-0301,25404,False,1
gpt-3.5-turbo-0613,48998,False,0
gpt-4-0314,13415,False,1
gpt-4-0613,39227,True,0
gpt-3.5-turbo-0301,87030,False,1
gpt-3.5-turbo-0613,10220,False,1
gpt-4-0314,42031,False,0
gpt-4-0613,90681,False,1
gpt-3.5-turbo-0301,67373,False,1
gpt-3.5-turbo-0613,60959,False,0
gpt-4-0314,87726,False,1
gpt-4-0613,91592,False,1
gpt-3.5-turbo-0301,43791,False,0
gpt-3.5-turbo-0613,86024,False,1
gpt-4-0314,35648,False,1
gpt-4-0613,70035,False,1
gpt-3.5-turbo-0301,83940,False,1
gpt-3.5-turbo-0613,76875,False,1
gpt-4-0314,49142,False,1
gpt-4-0613,48949,False,1
gpt-3.5-turbo-0301,11107,False,1
gpt-3.5-turbo-0613,71202,False,1
gpt-4-0314,51635,False,1
gpt-4-0613,26392,False,1
gpt-3.5-turbo-0301,21368,False,1
gpt-3.5-turbo-0613,40777,False,0
gpt-4-0314,73394,False,1
gpt-4-0613,16010,False,1
gpt-3.5-turbo-0301,59337,False,1
gpt-3.5-turbo-0613,15624,False,1
gpt-4-0314,71028,False,1
gpt-4-0613,49802,False,1
gpt-3.5-turbo-0301,18525,False,1
gpt-3.5-turbo-0613,57399,False,1
gpt-4-0314,75663,False,1
gpt-4-0613,30042,False,1
gpt-3.5-turbo-0301,81902,False,1
gpt-3.5-turbo-0613,23826,False,1
gpt-4-0314,96080,False,1
gpt-4-0613,37696,False,1
gpt-3.5-turbo-0301,88723,False,1
gpt-3.5-turbo-0613,93751,False,0
gpt-4-0314,80089,False,0
gpt-4-0613,79125,False,1
gpt-3.5-turbo-0301,68408,False,1
gpt-3.5-turbo-0613,33472,False,1
gpt-4-0314,28503,False,0
gpt-4-0613,48328,False,1
gpt-3.5-turbo-0301,99552,False,1
gpt-3.5-turbo-0613,93022,False,1
gpt-4-0314,98101,True,1
gpt-4-0613,94708,False,1
gpt-3.5-turbo-0301,93117,False,0
gpt-3.5-turbo-0613,99674,False,1
gpt-4-0314,72364,False,1
gpt-4-0613,10119,False,1
gpt-3.5-turbo-0301,82956,False,1
gpt-3.5-turbo-0613,16943,True,1
gpt-4-0314,53765,False,1
gpt-4-0613,58407,False,1
gpt-3.5-turbo-0301,32361,False,1
gpt-3.5-turbo-0613,16586,False,1
gpt-4-0314,92850,False,1
gpt-4-0613,74765,False,1
gpt-3.5-turbo-0301,74867,False,0
gpt-3.5-turbo-0613,33199,True,1
gpt-4-0314,73897,True,1
gpt-4-0613,91575,False,1
gpt-3.5-turbo-0301,22669,True,0
gpt-3.5-turbo-0613,65707,True,1
gpt-4-0314,69694,False,1
gpt-4-0613,62899,False,1
gpt-3.5-turbo-0301,58090,False,1
gpt-3.5-turbo-0613,52747,True,1
gpt-4-0314,23937,False,0
gpt-4-0613,89817,False,1
gpt-3.5-turbo-0301,32066,False,1
gpt-3.5-turbo-0613,49175,False,0
gpt-4-0314,60124,False,1
gpt-4-0613,77913,False,0
gpt-3.5-turbo-0301,10531,True,0
gpt-3.5-turbo-0613,11343,False,0
gpt-4-0314,93663,False,1
gpt-4-0613,60425,False,1
gpt-3.5-turbo-0301,18581,False,1
gpt-3.5-turbo-0613,38055,False,1
gpt-4-0314,70649,False,0
gpt-4-0613,36717,False,1
gpt-3.5-turbo-0301,65886,False,1
gpt-3.5-turbo-0613,75503,True,1
gpt-4-0314,34015,False,0
gpt-4-0613,57082,False,1
gpt-3.5-turbo-0301,18983,False,1
gpt-3.5-turbo-0613,19304,False,1
gpt-4-0314,49142,False,1
gpt-4-0613,41610,False,1
gpt-3.5-turbo-0301,47895,False,1
gpt-3.5-turbo-0613,55516,False,1
gpt-4-0314,70467,False,0
gpt-4-0613,99646,False,1
gpt-3.5-turbo-0301,47655,False,1
gpt-3.5-turbo-0613,50265,False,1
gpt-4-0314,99794,False,1
gpt-4-0613,86321,False,1
gpt-3.5-turbo-0301,68205,False,1
gpt-3.5-turbo-0613,26551,False,0
gpt-4-0314,59966,False,1
gpt-4-0613,52372,False,1
gpt-3.5-turbo-0301,50980,False,1
gpt-3.5-turbo-0613,21371,False,0
gpt-4-0314,78227,False,0
gpt-4-0613,42994,False,1
gpt-3.5-turbo-0301,35649,False,1
gpt-3.5-turbo-0613,53891,True,1
gpt-4-0314,99654,False,1
gpt-4-0613,74199,False,0
gpt-3.5-turbo-0301,47716,False,1
gpt-3.5-turbo-0613,96155,False,1
gpt-4-0314,56047,False,0
gpt-4-0613,33588,False,1
gpt-3.5-turbo-0301,57890,False,1
gpt-3.5-turbo-0613,63750,False,1
gpt-4-0314,38504,False,1
gpt-4-0613,72589,False,0
gpt-3.5-turbo-0301,49980,False,1
gpt-3.5-turbo-0613,96674,False,1
gpt-4-0314,57942,False,1
gpt-4-0613,50162,False,1
gpt-3.5-turbo-0301,64130,False,1
gpt-3.5-turbo-0613,78529,False,0
gpt-4-0314,87087,False,0
gpt-4-0613,99950,False,1
gpt-3.5-turbo-0301,48594,False,1
gpt-3.5-turbo-0613,71917,True,1
gpt-4-0314,80916,False,1
gpt-4-0613,13475,False,1
gpt-3.5-turbo-0301,56223,False,1
gpt-3.5-turbo-0613,23549,True,1
gpt-4-0314,33576,False,1
gpt-4-0613,28765,False,1
gpt-3.5-turbo-0301,23593,True,0
gpt-3.5-turbo-0613,24594,False,1
gpt-4-0314,55334,False,1
gpt-4-0613,34404,False,1
gpt-3.5-turbo-0301,24936,False,1
gpt-3.5-turbo-0613,84524,False,1
gpt-4-0314,54699,False,0
gpt-4-0613,15653,False,1
gpt-3.5-turbo-0301,11855,False,1
gpt-3.5-turbo-0613,28320,False,1
gpt-4-0314,68531,True,1
gpt-4-0613,81325,False,1
gpt-3.5-turbo-0301,27167,False,0
gpt-3.5-turbo-0613,44411,False,0
gpt-4-0314,61853,False,0
gpt-4-0613,39492,False,1
gpt-3.5-turbo-0301,50519,False,0
gpt-3.5-turbo-0613,45232,False,1
gpt-4-0314,89624,False,1
gpt-4-0613,19611,False,1
gpt-3.5-turbo-0301,74033,False,1
gpt-3.5-turbo-0613,72172,False,1
gpt-4-0314,74899,False,0
gpt-4-0613,59246,False,1
gpt-3.5-turbo-0301,14118,False,1
gpt-3.5-turbo-0613,89637,False,1
gpt-4-0314,62808,False,1
gpt-4-0613,20361,False,1
gpt-3.5-turbo-0301,88917,False,1
gpt-3.5-turbo-0613,42633,False,1
gpt-4-0314,53505,False,1
gpt-4-0613,59427,False,1
gpt-3.5-turbo-0301,44962,False,1
gpt-3.5-turbo-0613,68774,False,1
gpt-4-0314,91664,False,1
gpt-4-0613,52395,False,1
gpt-3.5-turbo-0301,54408,False,1
gpt-3.5-turbo-0613,43001,False,0
gpt-4-0314,48209,False,0
gpt-4-0613,58464,False,1
gpt-3.5-turbo-0301,24063,False,1
gpt-3.5-turbo-0613,98849,True,1
gpt-4-0314,67879,False,0
gpt-4-0613,34086,False,1
gpt-3.5-turbo-0301,71817,False,1
gpt-3.5-turbo-0613,27657,False,1
gpt-4-0314,76378,False,1
gpt-4-0613,82162,False,1
gpt-3.5-turbo-0301,20618,False,1
gpt-3.5-turbo-0613,47423,False,0
gpt-4-0314,82650,False,1
